lr,iterations
0.008618274,213.0
0.008654209,214.0
0.008690144,215.0
0.008726079,216.0
0.008762014,217.0
0.008797949,218.0
0.008833885,219.0
0.00886982,220.0
0.008905755,221.0
0.00894169,222.0
0.0089776255,223.0
0.0090135615,224.0
0.009049497,225.0
0.009085432,226.0
0.009121367,227.0
0.009157302,228.0
0.009193238,229.0
0.009229173,230.0
0.009265108,231.0
0.009301043,232.0
0.009336978,233.0
0.009372913,234.0
0.009408849,235.0
0.009444784,236.0
0.009480719,237.0
0.009516655,238.0
0.00955259,239.0
0.009588526,240.0
0.009624461,241.0
0.009660396,242.0
0.009696331,243.0
0.009732266,244.0
0.009768201,245.0
0.009804137,246.0
0.009840072,247.0
0.009876007,248.0
0.009911942,249.0
0.009947877,250.0
0.009983813,251.0
0.0100197485,252.0
0.010055684,253.0
0.010091619,254.0
0.010127554,255.0
0.010163489,256.0
0.010199425,257.0
0.01023536,258.0
0.010271295,259.0
0.01030723,260.0
0.010343165,261.0
0.010379101,262.0
0.010415036,263.0
0.010450971,264.0
0.010486906,265.0
0.0105228415,266.0
0.010558777,267.0
0.010594713,268.0
0.010630648,269.0
0.010666583,270.0
0.010702518,271.0
0.010738453,272.0
0.010774389,273.0
0.010810324,274.0
0.010846259,275.0
0.010882194,276.0
0.010918129,277.0
0.010954064,278.0
0.01099,279.0
0.011025935,280.0
0.0110618705,281.0
0.011097806,282.0
0.011133741,283.0
0.011169677,284.0
0.011205612,285.0
0.011241547,286.0
0.011277482,287.0
0.011313417,288.0
0.011349352,289.0
0.011385288,290.0
0.011421223,291.0
0.011457158,292.0
0.011493093,293.0
0.011529028,294.0
0.011564964,295.0
0.0116008995,296.0
0.011636835,297.0
0.01167277,298.0
0.011708705,299.0
0.01174464,300.0
0.011780576,301.0
0.011816511,302.0
0.011852446,303.0
0.011888381,304.0
0.011924316,305.0
0.011960252,306.0
0.011996187,307.0
0.012032122,308.0
0.012068057,309.0
0.0121039925,310.0
0.012139928,311.0
0.012175864,312.0
0.012211799,313.0
0.012247734,314.0
0.012283669,315.0
0.012319604,316.0
0.01235554,317.0
0.012391475,318.0
0.01242741,319.0
0.012463345,320.0
0.01249928,321.0
0.012535216,322.0
0.012571151,323.0
0.012607086,324.0
0.0126430215,325.0
0.012678957,326.0
0.012714892,327.0
0.012750828,328.0
0.012786763,329.0
0.012822698,330.0
0.012858633,331.0
0.012894568,332.0
0.012930504,333.0
0.012966439,334.0
0.013002374,335.0
0.013038309,336.0
0.013074244,337.0
0.013110179,338.0
0.0131461155,339.0
0.013182051,340.0
0.013217986,341.0
0.013253921,342.0
0.013289856,343.0
0.013325792,344.0
0.013361727,345.0
0.013397662,346.0
0.013433597,347.0
0.013469532,348.0
0.013505467,349.0
0.013541403,350.0
0.013577338,351.0
0.013613273,352.0
0.0136492085,353.0
0.013685144,354.0
0.01372108,355.0
0.013757015,356.0
0.01379295,357.0
0.013828885,358.0
0.01386482,359.0
0.013900755,360.0
0.013936691,361.0
0.013972626,362.0
