lr,iterations
0.11471154,146.0
0.10519231,147.0
0.09567308,148.0
0.08615384,149.0
0.076634616,150.0
0.06711538,151.0
0.057596155,152.0
0.048076924,153.0
0.038557693,154.0
0.02903846,155.0
0.01951923,156.0
0.01,157.0
0.014759615,158.0
0.01951923,159.0
0.024278846,160.0
0.02903846,161.0
0.033798076,162.0
0.038557693,163.0
0.043317307,164.0
0.048076924,165.0
0.052836537,166.0
0.057596155,167.0
0.062355768,168.0
0.06711538,169.0
0.071875,170.0
0.076634616,171.0
0.08139423,172.0
0.08615384,173.0
0.09091346,174.0
0.09567308,175.0
0.100432694,176.0
0.10519231,177.0
0.10995192,178.0
0.11471154,179.0
0.119471155,180.0
0.12423077,181.0
0.12899038,182.0
0.13375,183.0
0.12899038,184.0
0.12423077,185.0
0.119471155,186.0
0.11471154,187.0
0.10995192,188.0
0.10519231,189.0
0.100432694,190.0
0.09567308,191.0
0.09091346,192.0
0.08615384,193.0
0.08139423,194.0
0.076634616,195.0
0.071875,196.0
0.06711538,197.0
0.062355768,198.0
0.057596155,199.0
0.052836537,200.0
0.048076924,201.0
0.043317307,202.0
0.038557693,203.0
0.033798076,204.0
0.02903846,205.0
0.024278846,206.0
0.01951923,207.0
0.014759615,208.0
0.01,209.0
0.012379807,210.0
0.014759615,211.0
0.017139424,212.0
0.01951923,213.0
0.021899039,214.0
0.024278846,215.0
0.026658654,216.0
0.02903846,217.0
0.031418268,218.0
0.033798076,219.0
0.036177885,220.0
0.038557693,221.0
0.0409375,222.0
0.043317307,223.0
0.045697115,224.0
0.048076924,225.0
0.050456733,226.0
0.052836537,227.0
0.055216346,228.0
0.057596155,229.0
0.059975963,230.0
0.062355768,231.0
0.06473558,232.0
0.06711538,233.0
0.06949519,234.0
0.071875,235.0
0.06949519,236.0
0.06711538,237.0
0.06473558,238.0
0.062355768,239.0
0.059975963,240.0
0.057596155,241.0
0.055216346,242.0
0.052836537,243.0
0.050456733,244.0
0.048076924,245.0
0.045697115,246.0
0.043317307,247.0
0.0409375,248.0
0.038557693,249.0
0.036177885,250.0
0.033798076,251.0
0.031418268,252.0
0.02903846,253.0
0.026658654,254.0
0.024278846,255.0
0.021899039,256.0
0.01951923,257.0
0.017139424,258.0
0.014759615,259.0
0.012379807,260.0
0.01,261.0
0.011189904,262.0
0.012379807,263.0
0.013569712,264.0
0.014759615,265.0
0.01594952,266.0
0.017139424,267.0
0.018329326,268.0
0.01951923,269.0
0.020709135,270.0
0.021899039,271.0
0.023088943,272.0
0.024278846,273.0
0.02546875,274.0
0.026658654,275.0
0.027848559,276.0
0.02903846,277.0
0.030228365,278.0
0.031418268,279.0
0.032608174,280.0
0.033798076,281.0
0.034987982,282.0
0.036177885,283.0
0.037367787,284.0
0.038557693,285.0
0.039747596,286.0
0.0409375,287.0
0.039747596,288.0
0.038557693,289.0
0.037367787,290.0
0.036177885,291.0
0.034987982,292.0
0.033798076,293.0
0.032608174,294.0
0.031418268,295.0
0.030228365,296.0
0.02903846,297.0
0.027848559,298.0
0.026658654,299.0
0.02546875,300.0
0.024278846,301.0
0.023088943,302.0
0.021899039,303.0
0.020709135,304.0
0.01951923,305.0
0.018329326,306.0
0.017139424,307.0
0.01594952,308.0
0.014759615,309.0
0.013569712,310.0
0.012379807,311.0
0.011189904,312.0
0.01,313.0
0.010594952,314.0
0.011189904,315.0
0.011784856,316.0
0.012379807,317.0
0.01297476,318.0
0.013569712,319.0
0.014164664,320.0
0.014759615,321.0
0.015354567,322.0
0.01594952,323.0
0.01654447,324.0
0.017139424,325.0
0.017734375,326.0
0.018329326,327.0
0.01892428,328.0
0.01951923,329.0
0.020114183,330.0
0.020709135,331.0
0.021304086,332.0
0.021899039,333.0
0.02249399,334.0
0.023088943,335.0
0.023683894,336.0
0.024278846,337.0
0.024873799,338.0
0.02546875,339.0
0.024873799,340.0
0.024278846,341.0
0.023683894,342.0
0.023088943,343.0
0.02249399,344.0
0.021899039,345.0
0.021304086,346.0
0.020709135,347.0
0.020114183,348.0
0.01951923,349.0
0.01892428,350.0
0.018329326,351.0
0.017734375,352.0
0.017139424,353.0
0.01654447,354.0
0.01594952,355.0
0.015354567,356.0
0.014759615,357.0
0.014164664,358.0
0.013569712,359.0
0.01297476,360.0
0.012379807,361.0
0.011784856,362.0
0.011189904,363.0
0.010594952,364.0
0.01,365.0
0.010297476,366.0
0.010594952,367.0
0.0108924275,368.0
0.011189904,369.0
0.01148738,370.0
0.011784856,371.0
0.012082332,372.0
0.012379807,373.0
0.012677284,374.0
0.01297476,375.0
0.013272235,376.0
0.013569712,377.0
0.013867187,378.0
0.014164664,379.0
0.014462139,380.0
0.014759615,381.0
0.015057092,382.0
0.015354567,383.0
0.015652044,384.0
0.01594952,385.0
0.016246995,386.0
0.01654447,387.0
0.016841948,388.0
0.017139424,389.0
0.0174369,390.0
0.017734375,391.0
0.0174369,392.0
0.017139424,393.0
0.016841948,394.0
0.01654447,395.0
0.016246995,396.0
0.01594952,397.0
0.015652044,398.0
0.015354567,399.0
0.015057092,400.0
0.014759615,401.0
0.014462139,402.0
0.014164664,403.0
0.013867187,404.0
0.013569712,405.0
0.013272235,406.0
0.01297476,407.0
0.012677284,408.0
0.012379807,409.0
0.012082332,410.0
0.011784856,411.0
0.01148738,412.0
0.011189904,413.0
0.0108924275,414.0
0.010594952,415.0
0.010297476,416.0
0.01,417.0
0.010148738,418.0
0.010297476,419.0
0.010446214,420.0
0.010594952,421.0
0.01074369,422.0
0.0108924275,423.0
0.011041166,424.0
0.011189904,425.0
0.011338642,426.0
0.01148738,427.0
0.0116361175,428.0
0.011784856,429.0
0.011933594,430.0
0.012082332,431.0
0.01223107,432.0
0.012379807,433.0
0.012528545,434.0
0.012677284,435.0
0.012826022,436.0
0.01297476,437.0
0.013123497,438.0
0.013272235,439.0
0.013420974,440.0
0.013569712,441.0
0.0137184495,442.0
0.013867187,443.0
0.0137184495,444.0
0.013569712,445.0
0.013420974,446.0
0.013272235,447.0
0.013123497,448.0
0.01297476,449.0
0.012826022,450.0
0.012677284,451.0
0.012528545,452.0
0.012379807,453.0
0.01223107,454.0
0.012082332,455.0
0.011933594,456.0
0.011784856,457.0
0.0116361175,458.0
0.01148738,459.0
0.011338642,460.0
0.011189904,461.0
0.011041166,462.0
0.0108924275,463.0
0.01074369,464.0
0.010594952,465.0
0.010446214,466.0
0.010297476,467.0
0.010148738,468.0
0.01,469.0
0.010074369,470.0
0.010148738,471.0
0.010223107,472.0
0.010297476,473.0
0.010371845,474.0
0.010446214,475.0
0.010520583,476.0
0.010594952,477.0
0.010669321,478.0
0.01074369,479.0
0.010818059,480.0
0.0108924275,481.0
0.010966796,482.0
0.011041166,483.0
0.011115535,484.0
0.011189904,485.0
0.011264273,486.0
0.011338642,487.0
0.011413011,488.0
0.01148738,489.0
0.011561749,490.0
