lr,iterations,accuracy,loss
0.1977455,220.0,0.6319213,1.5797032
0.19864388,221.0,0.6318049,1.623697
0.19954227,222.0,0.6317961,1.4781029
0.20044065,223.0,0.6317416,1.6009308
0.20133904,224.0,0.63171434,1.5990961
0.20223741,225.0,0.63149446,1.7424153
0.20313579,226.0,0.63169706,1.2753632
0.20403418,227.0,0.63170016,1.4931056
0.20493256,228.0,0.63176715,1.4844997
0.20583093,229.0,0.63172114,1.583232
0.20672932,230.0,0.63178545,1.3817136
0.2076277,231.0,0.6318334,1.4926449
0.20852607,232.0,0.6320581,1.4209123
0.20942447,233.0,0.6322222,1.3678138
0.21032284,234.0,0.6321599,1.6156074
0.21122122,235.0,0.63211936,1.581333
0.21211961,236.0,0.63210577,1.547612
0.21301799,237.0,0.63205415,1.564027
0.21391636,238.0,0.6322155,1.4020194
0.21481475,239.0,0.6322742,1.5879523
0.21571313,240.0,0.63229364,1.5168875
0.2166115,241.0,0.6322132,1.5146532
0.2175099,242.0,0.63217276,1.5922346
0.21840827,243.0,0.632297,1.4405277
0.21930665,244.0,0.6323732,1.4807266
0.22020504,245.0,0.63234824,1.5811527
0.22110341,246.0,0.63237935,1.4380326
0.2220018,247.0,0.63213795,1.8500493
0.22290018,248.0,0.63208985,1.6358
0.22379856,249.0,0.6321713,1.4638026
0.22469695,250.0,0.6321509,1.5436267
0.22559533,251.0,0.6321612,1.5303942
0.2264937,252.0,0.6320455,1.5381181
0.22739209,253.0,0.63185054,1.7066318
0.22829047,254.0,0.6317939,1.6269182
0.22918884,255.0,0.6317953,1.5957503
0.23008724,256.0,0.63181263,1.5678958
0.23098561,257.0,0.63178813,1.4830164
0.23188399,258.0,0.63189644,1.3957194
0.23278238,259.0,0.63184917,1.4903045
0.23368075,260.0,0.63191336,1.5368328
0.23457913,261.0,0.63196635,1.5806547
0.23547752,262.0,0.63192165,1.4857138
0.2363759,263.0,0.63196206,1.5043119
0.23727427,264.0,0.6318559,1.728937
0.23817267,265.0,0.6318254,1.5665878
0.23907104,266.0,0.6317091,1.6738397
0.23996942,267.0,0.63158715,1.6936617
0.24086781,268.0,0.63152796,1.5093498
0.24176618,269.0,0.63138807,1.7556312
0.24266458,270.0,0.6316221,1.3539501
0.24356295,271.0,0.6315266,1.6548235
0.24446133,272.0,0.63148093,1.6304097
0.24535972,273.0,0.6315012,1.5101377
0.2462581,274.0,0.6315079,1.5339655
0.24715647,275.0,0.6315548,1.5014632
0.24805486,276.0,0.6315873,1.5956254
0.24895324,277.0,0.63163096,1.5502737
0.24985161,278.0,0.6315955,1.6012186
0.25075,279.0,0.63152933,1.6268915
0.25164837,280.0,0.6314542,1.6518427
0.25254676,281.0,0.6315091,1.480893
0.25344515,282.0,0.63147956,1.5824724
0.25434354,283.0,0.63151836,1.4834853
0.2552419,284.0,0.63145214,1.5813451
0.2561403,285.0,0.63146424,1.5325661
0.25703868,286.0,0.6314956,1.5215338
0.25793704,287.0,0.63157696,1.4548985
0.25883543,288.0,0.63145757,1.7015998
0.25973383,289.0,0.63150156,1.4905316
0.2606322,290.0,0.6315407,1.403432
0.26153058,291.0,0.63145334,1.7240237
0.26242897,292.0,0.6312779,1.7650682
0.26332733,293.0,0.63128346,1.6555191
0.26422572,294.0,0.63127154,1.5303773
0.2651241,295.0,0.6312432,1.5571623
0.26602247,296.0,0.6310631,1.8120819
0.26692086,297.0,0.63107514,1.6293588
0.26781926,298.0,0.6310768,1.5543079
0.26871762,299.0,0.6310606,1.5511857
0.269616,300.0,0.6309731,1.6661541
0.2705144,301.0,0.6311172,1.386053
0.27141276,302.0,0.63111705,1.5198557
0.27231115,303.0,0.6312144,1.4452122
0.27320954,304.0,0.63127196,1.4829987
0.2741079,305.0,0.63120085,1.6219412
0.2750063,306.0,0.6312063,1.4477972
0.2759047,307.0,0.63110465,1.6573
0.27680305,308.0,0.6310758,1.554022
0.27770144,309.0,0.6311117,1.484256
0.27859983,310.0,0.63114923,1.4744574
0.2794982,311.0,0.63120615,1.5189261
0.28039658,312.0,0.631253,1.5593847
0.28129497,313.0,0.63115937,1.6780735
0.28219333,314.0,0.63124174,1.3910087
0.28309172,315.0,0.6312653,1.4818953
0.28399011,316.0,0.63113666,1.617029
0.28488848,317.0,0.63102084,1.7488158
0.28578687,318.0,0.6309261,1.6632627
0.28668526,319.0,0.6309787,1.4509779
0.28758362,320.0,0.63096005,1.6099432
0.288482,321.0,0.631027,1.4432294
0.2893804,322.0,0.63107085,1.4122155
0.29027876,323.0,0.6311064,1.5736748
0.29117715,324.0,0.631179,1.5803533
0.29207554,325.0,0.63120383,1.5023847
0.29297394,326.0,0.631355,1.4214418
0.2938723,327.0,0.6312528,1.7278403
0.2947707,328.0,0.63125306,1.50941
0.29566908,329.0,0.63125384,1.5361438
0.29656744,330.0,0.63118315,1.6437678
0.29746583,331.0,0.63128287,1.40457
0.29836422,332.0,0.6312931,1.502817
0.29926258,333.0,0.6312001,1.6166426
0.30016097,334.0,0.6312253,1.5482666
0.30105937,335.0,0.6312245,1.551247
0.30195773,336.0,0.6312963,1.4272556
0.30285612,337.0,0.63127315,1.5217512
0.3037545,338.0,0.6313204,1.4797524
0.30465287,339.0,0.63136274,1.4814614
0.30555126,340.0,0.63133234,1.5432347
0.30644965,341.0,0.6313916,1.4359862
0.307348,342.0,0.6314904,1.4442228
0.3082464,343.0,0.6314425,1.7273352
0.3091448,344.0,0.6313047,1.6962032
0.31004316,345.0,0.6311876,1.718406
0.31094155,346.0,0.6312116,1.5274758
0.31183994,347.0,0.6312413,1.5609763
0.3127383,348.0,0.631103,1.7376032
0.3136367,349.0,0.6310405,1.5744015
0.31453508,350.0,0.63108045,1.5631363
0.31543344,351.0,0.6310367,1.6145998
0.31633183,352.0,0.6310758,1.4846913
0.31723022,353.0,0.6310401,1.6335304
0.3181286,354.0,0.6311199,1.526502
0.31902698,355.0,0.6310469,1.6027485
0.31992537,356.0,0.63105464,1.5253695
0.32082373,357.0,0.6311754,1.3952104
0.32172212,358.0,0.6312004,1.5001836
0.3226205,359.0,0.6311801,1.5379856
0.32351887,360.0,0.6311832,1.5795963
0.32441726,361.0,0.63111806,1.6157953
0.32531565,362.0,0.6311463,1.4610248
0.32621402,363.0,0.63120806,1.5135176
0.3271124,364.0,0.63127786,1.4511064
0.3280108,365.0,0.6313036,1.5819452
0.32890916,366.0,0.63130105,1.4955682
0.32980755,367.0,0.6312262,1.6413368
0.33070594,368.0,0.6312093,1.6619521
0.3316043,369.0,0.6311623,1.6459486
0.3325027,370.0,0.63114196,1.6347842
0.33340108,371.0,0.631179,1.5747473
0.33429947,372.0,0.63117045,1.575813
0.33519784,373.0,0.63124055,1.5147479
0.33609623,374.0,0.6312659,1.4718173
0.33699462,375.0,0.6312108,1.6262178
0.33789298,376.0,0.6312621,1.4998465
0.33879137,377.0,0.63128024,1.5531576
0.33968976,378.0,0.6312819,1.5062941
0.34058812,379.0,0.6313855,1.4046485
0.3414865,380.0,0.631409,1.494123
0.3423849,381.0,0.63141704,1.5621126
0.34328327,382.0,0.63134795,1.6744418
0.34418166,383.0,0.6315183,1.314051
0.34508005,384.0,0.63156176,1.5118315
0.3459784,385.0,0.6316308,1.5683491
0.3468768,386.0,0.6316451,1.510356
0.3477752,387.0,0.63163936,1.528791
0.34867355,388.0,0.6316805,1.4015769
0.34957194,389.0,0.6316515,1.560026
0.35047033,390.0,0.6315392,1.7408675
0.3513687,391.0,0.6315151,1.5787601
0.3522671,392.0,0.63146645,1.623326
0.35316548,393.0,0.6314874,1.5795904
0.35406384,394.0,0.63141096,1.674328
0.35496223,395.0,0.63141006,1.4699378
0.35586062,396.0,0.6314117,1.558595
0.35675898,397.0,0.6314661,1.5482546
0.35765737,398.0,0.63149804,1.437097
0.35855576,399.0,0.6315758,1.3988265
0.35945413,400.0,0.6315772,1.5604364
0.36035252,401.0,0.63163686,1.4259382
0.3612509,402.0,0.63167566,1.4590303
0.36214927,403.0,0.6317284,1.5484079
0.36304766,404.0,0.6317402,1.4902558
0.36394605,405.0,0.6316844,1.6156511
0.3648444,406.0,0.63166183,1.6566079
0.3657428,407.0,0.6316497,1.5663189
0.3666412,408.0,0.6316777,1.5965955
0.36753955,409.0,0.6315551,1.6853197
0.36843795,410.0,0.631482,1.6414568
0.36933634,411.0,0.6314749,1.5604367
0.3702347,412.0,0.6314737,1.5297283
0.3711331,413.0,0.63147104,1.6027563
0.37203148,414.0,0.6314424,1.6188141
0.37292984,415.0,0.63144904,1.50979
0.37382823,416.0,0.6314697,1.5579822
0.37472662,417.0,0.63151366,1.5260308
0.375625,418.0,0.6314627,1.5592555
0.37652338,419.0,0.6315407,1.4542257
0.37742177,420.0,0.63156736,1.464136
0.37832016,421.0,0.6315496,1.5697258
0.37921852,422.0,0.6315397,1.5138676
0.3801169,423.0,0.6314889,1.6223027
0.3810153,424.0,0.63147986,1.4818953
0.38191366,425.0,0.6314799,1.5132309
0.38281205,426.0,0.63150394,1.523701
0.38371044,427.0,0.6315081,1.5457904
0.3846088,428.0,0.6315534,1.4655565
0.3855072,429.0,0.6316153,1.4179304
0.3864056,430.0,0.631629,1.569339
0.38730395,431.0,0.6315384,1.6669838
0.38820234,432.0,0.6315718,1.5060894
0.38910073,433.0,0.6315623,1.570371
0.3899991,434.0,0.6315112,1.6123395
0.39089748,435.0,0.6315744,1.4727734
0.39179587,436.0,0.6315589,1.5778626
0.39269423,437.0,0.63158137,1.4469976
0.39359263,438.0,0.6316539,1.3708647
0.39449102,439.0,0.63166314,1.5170119
0.39538938,440.0,0.6315963,1.6140993
0.39628777,441.0,0.63161945,1.3944625
0.39718616,442.0,0.6316911,1.4391131
0.39808452,443.0,0.6316882,1.450857
0.3989829,444.0,0.6317466,1.5084897
0.3998813,445.0,0.6318811,1.337175
0.40077966,446.0,0.6318906,1.5302113
0.40167806,447.0,0.63182473,1.6187476
0.40257645,448.0,0.63183403,1.4639772
0.4034748,449.0,0.63183284,1.5273346
0.4043732,450.0,0.6318172,1.5412079
0.4052716,451.0,0.6318858,1.4089153
0.40616995,452.0,0.6318833,1.4723152
0.40706834,453.0,0.6319162,1.4729156
0.40796673,454.0,0.6318747,1.6001915
0.4088651,455.0,0.63183796,1.6303716
0.4097635,456.0,0.63176453,1.7144266
0.41066188,457.0,0.63179535,1.4593177
0.41156024,458.0,0.6317592,1.702803
0.41245863,459.0,0.63177603,1.4944156
0.41335702,460.0,0.631775,1.491261
0.4142554,461.0,0.63179904,1.5160589
0.41515377,462.0,0.6318606,1.4487032
0.41605216,463.0,0.63184226,1.5084933
0.41695055,464.0,0.6318684,1.5090944
0.4178489,465.0,0.63181835,1.5548202
0.4187473,466.0,0.6318678,1.4332596
0.4196457,467.0,0.6318833,1.4877397
0.42054406,468.0,0.6319146,1.4954487
0.42144245,469.0,0.6318662,1.578758
0.42234084,470.0,0.63190573,1.4046832
0.4232392,471.0,0.631924,1.5569043
0.4241376,472.0,0.63192296,1.5353472
0.42503598,473.0,0.63195515,1.4130033
0.42593434,474.0,0.6319435,1.575393
0.42683274,475.0,0.6318886,1.6432438
0.42773113,476.0,0.6318861,1.4996825
0.4286295,477.0,0.6319317,1.48124
0.42952788,478.0,0.63189864,1.6309067
0.43042627,479.0,0.6318906,1.4627441
0.43132463,480.0,0.63183594,1.6592782
0.43222302,481.0,0.6317935,1.7033136
0.4331214,482.0,0.6317826,1.5729818
0.43401977,483.0,0.63176167,1.5993325
0.43491817,484.0,0.63170224,1.6376742
0.43581656,485.0,0.63177335,1.4009976
0.43671492,486.0,0.63168895,1.6529759
0.4376133,487.0,0.63171667,1.4461172
0.4385117,488.0,0.63167983,1.7217754
0.43941006,489.0,0.6317239,1.4913762
0.44030845,490.0,0.6316711,1.6327707
0.44120684,491.0,0.63162845,1.5698026
0.4421052,492.0,0.6316294,1.5082808
0.4430036,493.0,0.631585,1.6297578
0.443902,494.0,0.63164645,1.4421582
0.44480035,495.0,0.6316689,1.4699398
0.44569874,496.0,0.63165164,1.5293782
0.44659713,497.0,0.6316343,1.5804744
0.4474955,498.0,0.63162947,1.5388138
0.44839388,499.0,0.63157684,1.6415585
0.44929227,500.0,0.6315979,1.5278609
0.45019063,501.0,0.6315171,1.7425635
0.45108902,502.0,0.6315089,1.5077499
0.45198742,503.0,0.63148844,1.6296725
0.45288578,504.0,0.63162667,1.3010753
0.45378417,505.0,0.6316819,1.4612011
0.45468256,506.0,0.6316904,1.5423295
0.45558095,507.0,0.63170487,1.5675703
0.4564793,508.0,0.63170296,1.6033001
0.4573777,509.0,0.6317435,1.5303024
0.4582761,510.0,0.6317244,1.5955672
0.45917445,511.0,0.6317252,1.4912041
0.46007285,512.0,0.631606,1.8729037
0.46097124,513.0,0.6316518,1.4095417
0.4618696,514.0,0.63170266,1.3823097
0.462768,515.0,0.6317603,1.4408917
0.46366638,516.0,0.63178545,1.5260597
0.46456474,517.0,0.6318097,1.5186012
0.46546313,518.0,0.63176113,1.6418526
0.46636152,519.0,0.63174564,1.5979601
0.46725988,520.0,0.6317597,1.4883502
0.46815827,521.0,0.6318055,1.4839562
0.46905667,522.0,0.6317947,1.6205761
0.46995503,523.0,0.63181263,1.5002248
0.47085342,524.0,0.631834,1.478745
0.4717518,525.0,0.6318775,1.4307265
0.47265017,526.0,0.63187057,1.558233
0.47354856,527.0,0.6318585,1.6402051
0.47444695,528.0,0.63180137,1.6301509
0.4753453,529.0,0.631833,1.637223
0.4762437,530.0,0.631803,1.6009558
0.4771421,531.0,0.63190424,1.29329
0.47804046,532.0,0.63191336,1.5102122
0.47893885,533.0,0.63193923,1.5645727
0.47983724,534.0,0.631914,1.520549
0.4807356,535.0,0.6319369,1.4459229
0.481634,536.0,0.63194364,1.5611453
0.48253238,537.0,0.6319226,1.6950805
0.48343074,538.0,0.63188314,1.6366912
0.48432913,539.0,0.6318354,1.637317
0.48522753,540.0,0.63187844,1.5010382
0.4861259,541.0,0.63189006,1.5065563
0.48702428,542.0,0.631867,1.6126571
0.48792267,543.0,0.6319147,1.4127663
0.48882103,544.0,0.6319198,1.5568092
0.48971942,545.0,0.6319583,1.487532
0.4906178,546.0,0.63196146,1.5553713
0.49151617,547.0,0.63201845,1.4465326
0.49241456,548.0,0.631975,1.5395449
0.49331295,549.0,0.63198644,1.4565762
0.49421132,550.0,0.63198906,1.6215501
0.4951097,551.0,0.6320161,1.4866725
0.4960081,552.0,0.6320658,1.3647813
0.4969065,553.0,0.6320609,1.6023673
0.49780485,554.0,0.6320758,1.5613045
0.49870324,555.0,0.63208574,1.5328052
0.49960163,556.0,0.63208467,1.6176163
0.5005,557.0,0.66423357,1.431623
0.5013984,558.0,0.6552266,1.5462286
0.50229675,559.0,0.65612745,1.5026425
0.50319517,560.0,0.654691,1.468019
0.5040935,561.0,0.653877,1.451213
0.5049919,562.0,0.6545467,1.4466412
0.5058903,563.0,0.65436155,1.5206857
0.5067887,564.0,0.65381634,1.4887936
0.50768703,565.0,0.65355825,1.4781514
0.50858545,566.0,0.6520223,1.4750257
0.5094838,567.0,0.64884037,1.6374034
0.5103822,568.0,0.6488176,1.447547
0.5112806,569.0,0.6484736,1.4854331
0.51217896,570.0,0.64839035,1.5671068
0.5130773,571.0,0.6502592,1.4677402
0.51397574,572.0,0.6485278,1.6075864
0.5148741,573.0,0.64808005,1.3910468
0.51577246,574.0,0.64687043,1.5241095
0.5166709,575.0,0.6464439,1.45385
0.51756924,576.0,0.6467404,1.5629405
0.5184676,577.0,0.6475301,1.4684312
0.519366,578.0,0.6467913,1.5739831
0.5202644,579.0,0.64561325,1.4968908
0.52116275,580.0,0.6438409,1.6100742
0.52206117,581.0,0.64401215,1.4643906
0.52295953,582.0,0.64390856,1.4532
0.5238579,583.0,0.64418614,1.4969101
0.5247563,584.0,0.6438399,1.5161943
0.5256547,585.0,0.64469534,1.4090402
0.52655303,586.0,0.64531285,1.4631147
0.52745146,587.0,0.6453691,1.557154
0.5283498,588.0,0.6458933,1.439427
0.5292482,589.0,0.64601153,1.4690113
0.5301466,590.0,0.64621353,1.4064081
0.53104496,591.0,0.6464316,1.4702
0.5319433,592.0,0.64640176,1.5483631
0.53284174,593.0,0.6465781,1.5102952
0.5337401,594.0,0.64611346,1.584496
0.53463846,595.0,0.646679,1.3826174
0.5355369,596.0,0.6461462,1.6021634
0.53643525,597.0,0.64570814,1.5407004
0.5373336,598.0,0.64607507,1.3657159
0.538232,599.0,0.6458492,1.4867182
0.5391304,600.0,0.645993,1.49876
0.54002875,601.0,0.64560485,1.5636269
0.5409272,602.0,0.6450127,1.5958558
0.54182553,603.0,0.64500326,1.5028623
0.5427239,604.0,0.644669,1.5213228
0.5436223,605.0,0.6443741,1.5706615
0.5445207,606.0,0.6440078,1.567815
0.54541904,607.0,0.643836,1.5334907
0.54631746,608.0,0.6439014,1.4782571
0.5472158,609.0,0.6437661,1.5734797
0.5481142,610.0,0.64408046,1.4714148
0.5490126,611.0,0.6433923,1.627333
0.54991096,612.0,0.6427652,1.7021391
0.5508093,613.0,0.64287114,1.4261683
0.55170774,614.0,0.64317966,1.3823962
0.5526061,615.0,0.6430663,1.5272385
0.55350447,616.0,0.6430757,1.5610791
0.5544029,617.0,0.6429053,1.5368081
0.55530125,618.0,0.64295495,1.4081311
0.55619967,619.0,0.6426396,1.5129098
0.55709803,620.0,0.64246804,1.6027064
0.5579964,621.0,0.6424676,1.4458998
0.5588948,622.0,0.64188546,1.6257106
0.5597932,623.0,0.6421408,1.4538289
0.56069154,624.0,0.6417942,1.626324
0.56158996,625.0,0.64182866,1.5544627
0.5624883,626.0,0.64186203,1.4963695
0.5633867,627.0,0.64178115,1.49278
0.5642851,628.0,0.6418791,1.5268241
0.56518346,629.0,0.6420835,1.4425719
0.5660818,630.0,0.641665,1.5901347
0.56698024,631.0,0.64207184,1.3744265
0.5678786,632.0,0.6421043,1.4849206
0.56877697,633.0,0.64226776,1.3947837
0.5696754,634.0,0.64197767,1.5890234
0.57057375,635.0,0.6417539,1.5913011
0.5714721,636.0,0.6422571,1.3729306
0.5723705,637.0,0.6420992,1.5780772
0.5732689,638.0,0.64213383,1.4466956
0.57416725,639.0,0.64195234,1.5611345
0.5750657,640.0,0.6419015,1.4869925
