lr,iterations
0.08185431,181.0
0.08230351,182.0
0.0827527,183.0
0.083201885,184.0
0.08365108,185.0
0.08410027,186.0
0.08454946,187.0
0.08499865,188.0
0.08544784,189.0
0.085897036,190.0
0.086346224,191.0
0.08679541,192.0
0.08724461,193.0
0.087693796,194.0
0.08814298,195.0
0.08859218,196.0
0.08904137,197.0
0.089490555,198.0
0.08993975,199.0
0.09038894,200.0
0.09083813,201.0
0.09128732,202.0
0.09173651,203.0
0.0921857,204.0
0.092634894,205.0
0.09308408,206.0
0.09353327,207.0
0.093982466,208.0
0.09443165,209.0
0.09488084,210.0
0.09533004,211.0
0.095779225,212.0
0.09622842,213.0
0.09667761,214.0
0.0971268,215.0
0.09757599,216.0
0.09802518,217.0
0.09847437,218.0
0.098923564,219.0
0.09937275,220.0
0.09982194,221.0
0.100271136,222.0
0.10072032,223.0
0.10116951,224.0
0.10161871,225.0
0.102067895,226.0
0.10251708,227.0
0.10296628,228.0
0.10341547,229.0
0.103864655,230.0
0.10431385,231.0
0.10476304,232.0
0.10521223,233.0
0.10566142,234.0
0.10611061,235.0
0.106559806,236.0
0.10700899,237.0
0.10745818,238.0
0.10790738,239.0
0.108356565,240.0
0.10880575,241.0
0.10925495,242.0
0.10970414,243.0
0.110153325,244.0
0.11060252,245.0
0.11105171,246.0
0.1115009,247.0
0.11195009,248.0
0.11239928,249.0
0.11284847,250.0
0.11329766,251.0
0.11374685,252.0
0.11419604,253.0
0.114645235,254.0
0.11509442,255.0
0.11554362,256.0
0.11599281,257.0
0.116441995,258.0
0.11689119,259.0
0.11734038,260.0
0.11778957,261.0
0.11823876,262.0
0.11868795,263.0
0.11913714,264.0
0.11958633,265.0
0.12003552,266.0
0.12048471,267.0
0.120933905,268.0
0.12138309,269.0
0.12183228,270.0
0.12228148,271.0
0.122730665,272.0
0.12317985,273.0
0.12362905,274.0
0.12407824,275.0
0.124527425,276.0
0.12497662,277.0
0.12542582,278.0
0.125875,279.0
0.12632419,280.0
0.12677339,281.0
0.12722257,282.0
0.12767176,283.0
0.12812096,284.0
0.12857014,285.0
0.12901933,286.0
0.12946853,287.0
0.12991771,288.0
0.1303669,289.0
0.1308161,290.0
